歌名,歌手,语言和曲风,难度,价格,,,,,,
我记得,赵雷,流行,简单,,,,,,,
爱人呢,郭采洁,流行,简单,,,,,,,
elm,Akie秋绘,流行,简单,,,,,,,
黑色幽默,周杰伦,流行,简单,,,,,,,
等你下课,周杰伦,流行,简单,,,,,,,
阳光宅男,周杰伦,流行,简单,,,,,,,
白色风车,周杰伦,流行,困难,30,,,,,,
告白气球,周杰伦,流行,简单,,,,,,,
世界末日,周杰伦,流行,简单,,,,,,,
说好不哭,周杰伦,流行,简单,,,,,,,
断了的弦,周杰伦,流行,简单,,,,,,,
可爱女人,周杰伦,流行,简单,,,,,,,
爱你没差,周杰伦,流行,简单,,,,,,,
开不了口,周杰伦,流行,简单,,,,,,,
说了再见,周杰伦,流行,简单,,,,,,,
回到过去,周杰伦,流行,简单,,,,,,,
一路向北,周杰伦,流行,中等,,,,,,,
黑色毛衣,周杰伦,流行,简单,,,,,,,
你听得到,周杰伦,流行,简单,,,,,,,
爱情悬崖,周杰伦,流行,中等,,,,,,,
千里之外,周杰伦,流行,简单,,,,,,,
半岛铁盒,周杰伦,流行,简单,,,,,,,
魔术先生,周杰伦,流行,简单,,,,,,,
止战之殇,周杰伦,流行,简单,,,,,,,
她的睫毛,周杰伦,流行,简单,,,,,,,
浪漫手机,周杰伦,流行,简单,,,,,,,
伊斯坦堡,周杰伦,流行,简单,,,,,,,
开始懂了,孙燕姿,流行,简单,,,,,,,
眼泪成诗,孙燕姿,流行,简单,,,,,,,
时光小偷,孙燕姿,流行,中等,,,,,,,
我怀念的,孙燕姿,流行,中等,,,,,,,
我不难过,孙燕姿,流行,中等,,,,,,,
180度,孙燕姿,流行,简单,,,,,,,
后会无期,邓紫棋,流行,简单,,,,,,,
很久以后,邓紫棋,流行,中等,,,,,,,
我的秘密,邓紫棋,流行,简单,,,,,,,
光年之外,邓紫棋,流行,中等,,,,,,,
我还想她,林俊杰,流行,简单,,,,,,,
修炼爱情,林俊杰,流行,简单,,,,,,,
豆浆油条,林俊杰,流行,简单,,,,,,,
浪漫血液,林俊杰,流行,中等,,,,,,,
飞云之下,林俊杰、韩红,流行,中等,,,,,,,
失落沙洲,徐佳莹,流行,中等,,,,,,,
身骑白马,徐佳莹,流行,中等,30,,,,,,
寻人启事,徐佳莹,流行,简单,,,,,,,
行走的鱼,徐佳莹,流行,中等,,,,,,,
到此为止,徐佳莹,流行,简单,,,,,,,
黑色柳丁,陶喆,流行,简单,,,,,,,
普通朋友,陶喆,流行,简单,,,,,,,
就是爱你,陶喆,流行,简单,,,,,,,
小镇姑娘,陶喆,流行,简单,,,,,,,
那个女孩,陶喆、卢广仲,流行,简单,,,,,,,
想象之中,许嵩,流行,简单,,,,,,,
全球变冷,许嵩,流行,简单,,,,,,,
白马非马,许嵩,流行,简单,,,,,,,
云烟成雨,房东的猫,流行,简单,,,,,,,
那些花儿,房东的猫,流行,简单,,,,,,,
纵情年代,房东的猫,流行,简单,,,,,,,
配不上你,Fine乐团,流行,困难,,,,,,,
我不需要,Fine乐团,流行,困难,,,,,,,
呼吸决定,Fine乐团,流行,超级难,,,,,,,
分手快乐,梁静茹,流行,简单,,,,,,,
可以的话,梁静茹,流行,简单,,,,,,,
没有如果,梁静茹,流行,简单,,,,,,,
残酷月光,林宥嘉,流行,简单,,,,,,,
神秘嘉宾,林宥嘉,流行,简单,,,,,,,
天真有邪,林宥嘉,流行,困难,,,,,,,
四季予你,程响,流行,简单,,,,,,,
不再联系,程响,流行,简单,,,,,,,
时光洪流,程响,流行,中等,,,,,,,
我要快乐,张惠妹,流行,中等,,,,,,,
连名带姓,张惠妹,流行,超级难,,,,,,,
坏的好人,张惠妹,流行,简单,,,,,,,
空空如也,任然,流行,简单,,,,,,,
飞鸟和蝉,任然,流行,简单,,,,,,,
匆匆那年,王菲,流行,简单,,,,,,,
百年孤寂,王菲,流行,中等,,,,,,,
我们的歌,王力宏,流行,简单,,,,,,,
大城小爱,王力宏,流行,简单,,,,,,,
路过人间,郁可唯,流行,简单,,,,,,,
时间煮雨,郁可唯,流行,简单,,,,,,,
勾指起誓,洛天依,流行,简单,,,,,,,
兔子先生,洛天依,流行,简单,,,,,,,
香格里拉,魏如萱,流行,简单,,,,,,,
你啊你啊,魏如萱,流行,简单,,,,,,,
彼个所在,魏如萱,流行,简单,,,,,,,
你的微笑,F.I.R. 飞儿乐团,流行,简单,,,,,,,
我们的爱,F.I.R. 飞儿乐团,流行,困难,30,,,,,,
忽然之间,莫文蔚,流行,简单,,,,,,,
电台情歌,莫文蔚,流行,简单,,,,,,,
爱丫爱丫,by2,流行,困难,,,,,,,
桃花旗袍,by2,流行,简单,,,,,,,
年少有为,李荣浩,流行,简单,,,,,,,
乌梅子酱,李荣浩,流行,简单,,,,,,,
与你有关,泠鸢yousa,流行,简单,,,,,,,
流年如歌,泠鸢yousa,流行,困难,30,,,,,,
诱惑的街,林忆莲,流行,困难,,,,,,,
词不达意,林忆莲,流行,简单,,,,,,,
不可思议,金莎,流行,简单,,,,,,,
爱的魔法,金莎,流行,简单,,,,,,,
即时生效,蔡依林,流行,简单,,,,,,,
后会无期,徐良、汪苏泷,流行,简单,,,,,,,
母系社会,张惠妹,流行,困难,100,,,,,,
夏天的风,温岚,流行,简单,,,,,,,
特别的人,方大同,流行,简单,,,,,,,
你的眼神,蔡琴,流行,简单,,,,,,,
战争世界,姚贝娜,流行,困难,,,,,,,
我好想你,苏打绿,流行,中等,,,,,,,
孤独患者,陈奕迅,流行,简单,,,,,,,
你要的爱,戴佩妮,流行,简单,,,,,,,
让她降落,何璐,流行,中等,,,,,,,
可不可以,银临,流行,简单,,,,,,,
深海游戏,雷雨心,流行,中等,,,,,,,
六月的雨,胡歌,流行,简单,,,,,,,
